abase	to bring down; make lower in rank, condition, or character; to humble; humiliate	/@/'b/eI/s	A man who betrays his country abases himself. to abase oneself before God.	easy	false
abash	embarrass	/@/'b/&//S/	Not Available	normal	false
abate	subside or moderate	/@/'b/eI/t	Not Available	normal	false
abbreviate	shorten	/@/'br/i/v/i/,/eI/t	Not Available	normal	false
abdicate	to give up (office, power, or authority); renounce formally (a right, claim, or duties); resign; to renounce office, power, or authority; resign; to withdraw oneself (from)	'/&/bd/@/,k/eI/t	When the kind abdicated his throne, his brother became king. Why did the king abdicate?	easy	false
aberrant	abnormal or deviant	/@/'b/E/r/@/nt	Not Available	normal	false
aberration	deviation from the normal; mental disorder	,/&/b/@/'r/eI//S//@/n	Not Available	normal	false
abet	assist usually in doing something wrong; encourage	/@/'b/E/t	Not Available	normal	false
abeyance	suspended action; a temporary stopping of activity	/@/'b/eI//@/ns	The custom was revived after an abeyance of several centuries.	normal	false
abhor	detest; hate	/&/b'h/O/r	Not Available	normal	false
abide	dwell; abide by: comply with; put up with; tolerate;	/@/'b/aI/d	abide by the rules, I can't abide rude people	normal	false
abject	(of a condition) wretched; as low as possible; lacking pride; very humble; showing lack of self-respect;	'/&/b/dZ//E/kt	abject apology	normal	false
abjure	to swear to give up; reject solemnly, formally, or on oath; renounce; to refrain from; avoid	/&/b'/dZ//U/r	to abjure power, allegiance, or a claim or claimant. An alien must abjure his foreign citizenship before he can become an American citizen. to abjure a belief, doctrine, or opinion formerly held. to abjure humor	difficult	false
ablution	washing	/&/b'l/u//S//@/n	Not Available	normal	false
abnegation	renunciation; self-sacrifice; self-abnegation	,/&/bn/I/'g/eI//S//@/n	Not Available	normal	false
abode	dwelling place; home	/@/'b/oU/d	Not Available	normal	false
abolish	cancel; put an end to	/@/'b/A/l/I//S/	Not Available	normal	false
abominable	detestable; extremely unpleasant	/@/'b/A/m/@/n/@/b/@/l	Not Available	normal	false
abominate	to feel disgust for; hate very much; loathe; to dislike	/@/'b/A/m/@/,n/eI/t	Players abominate unfairness in an umpire. She abominates hot weather.	normal	false
aboriginal	being the first of its kind in a region; primitive; native; indigenous; N. aborigine	,/&/b/@/'r/I//dZ//@/n/-/l	Not Available	normal	false
abortive	unsuccessful; fruitless	/@/'b/O/rt/I/v	Not Available	normal	false
abrasive	rubbing away; tending to grind down	/@/'br/eI/s/I/v	Not Available	normal	false
abridge	condense or shorten	/@/'br/I//dZ/	Not Available	normal	false
abrogate	abolish	'/&/br/@/,g/eI/t	Not Available	normal	false
abscission	cutting off; separation	/&/b's/I//Z//@/n	Not Available	normal	false
abscond	depart secretly and hide	/&/b'sk/A/nd	Not Available	normal	false
absolute	complete; totally unlimited; having complete power; certain; not relative;	'/&/bs/@/,l/u/t	absolute honesty/ruler	normal	false
absolve	to declare free from sin, guilt, or blame or their penalties or consequences; exonerate; to set free (from a duty or obligation); release; exempt	/&/b'z/A/lv	My brother was absolved of blame fro the accident. The priest absolved the man after he confessed his sin and did penance. I absolve you from your promise to go.	difficult	false
abstain	refrain; withhold from participation; intentionally not use one's vote	/&/b'st/eI/n	Not Available	normal	false
abstemious	sparing in eating and drinking; temperate	/&/b'st/i/m/i//@/s	Not Available	normal	false
abstinence	restraint from pleasant things, esp. eating or drinking; CF. abstention: act of abstaining from vote	'/&/bst/@/n/@/ns	Not Available	normal	false
abstract	theoretical; not concrete; nonrepresentational	Not available	Not Available	normal	false
abstruse	obscure; profound; difficult to understand	/&/b'str/u/s	Not Available	normal	false
abusive	using harsh and insulting language; reviling; containing abuse; harsh and insulting; treating roughly and cruelly; physically harmful	/@/'b/j//u/s/I/v	You're an... abusive ... bad old creature. an abusive letter	easy	false
abut	border upon; adjoin	/@/'b/@/t	Not Available	normal	false
abysmal	bottomless	/@/'b/I/zm/@/l	Not Available	normal	false
abyss	enormous chasm; vast bottomless pit	/@/'b/I/s	Not Available	normal	false
academic	of or having to do with schools, colleges, universities, and their studies; scholarly; not arising in practice; not practical; hypothetical; theoretical	,/&/k/@/'d/E/m/I/k	the academic world, academic research. The academic year begins when school opens in September. "Which came first, the chicken or the egg?" is an academic question.	easy	false
accede	agree	/&/k's/i/d	Not Available	normal	false
accelerate	move faster	/&/k's/E/l/@/,r/eI/t	Not Available	normal	false
accessible	easy to approach; obtainable	/&/k's/E/s/@/b/@/l	Not Available	easy	false
accessory	additional object; useful but not essential thing	/&/k's/E/s/@/r/i/	Not Available	normal	false
acclaim	applaud; praise; greet with great approval; announce with great approval;	/@/'kl/eI/m	The new drung has been acclaimed as the most important discoveries for years	normal	false
acclimate	to accustom or become accustomed to a new climate, surroundings, or conditions; acclimatize	/@/'kl/aI/m/I/t	to acclimate settlers. The penguin has acclimated itself to antarctic conditions. I have not been long enough at this table to get well acclimated (Oliver Wendell Holmes).	easy	false
acclivity	sharp upslope of a hill; OP. declivity	/@/'kl/I/v/I/t/i/	Not Available	normal	false
accolade	award of merit; strong praise and approval	,/&/k/@/'l/eI/d	Not Available	normal	false
accommodate	oblige or help someone; adjust or bring into harmony; adapt; make enough space for; ADJ. accommodative; CF. accomodating: helpful and obliging	/@/'k/A/m/@/,d/eI/t	Not Available	normal	false
accomplice	partner in crime	/@/'k/A/mpl/I/s	Not Available	normal	false
accord	agreement	/@/'k/O/rd	Not Available	normal	false
accost	approach and speak first to a person	/@/'k/O/st	Not Available	normal	false
accoutre	equip; N. accoutrement	/@/'k/u/t/@/r	Not Available	normal	false
accretion	growth or increase in size by gradual addition; growth; increase; increase by natural growth;	/@/'kr/i//S//@/n	towers and other accretions of the castle	normal	false
accrue	come to one as a gain; accumulate over time; come about by addition;	/@/'kr/u/	benefits that accrue from scientific research, interest accruing in a bank account	normal	false
acerbity	bitterness of speech and temper; ADJ. acerbic: bitter; acrid (in taste, manner, or tone)	/@/'s/[@]/rb/I/t/i/	Not Available	normal	false
acetic	vinegary	/@/'s/i/t/I/k	Not Available	normal	false
acidulous	slightly sour (in taste or manner); sharp; caustic	/@/'s/I//dZ//@/l/@/s	Not Available	normal	false
acknowledge	recognize; admit	/&/k'n/A/l/I//dZ/	Not Available	normal	false
acme	peak; pinnacle; highest point	'/&/km/i/	Not Available	normal	false
acne	skin disease (on the face)	'/&/kn/i/	Not Available	normal	false
acoustics	science of sound; quality that makes a room easy or hard to hear in	/@/'k/u/st/I/ks	Not Available	normal	false
acquiesce	assent; agree passively; comply without protest	,/&/kw/i/'/E/s	Not Available	normal	false
acquittal	deliverance from a charge; V. acquit: free from a charge or accusation; discharge from a duty; conduct (oneself) in a specified manner	/@/'kw/I/t/-/l	Not Available	normal	false
acrid	bitter (to the taste or smell); sharp; bitterly pungent	'/&/kr/I/d	Not Available	normal	false
acrimonious	sharp or bitter in temper, language, or manner; cuastic.	,/&/kr/@/'m/oU/n/i//@/s	An acrimonious dispute broke out between the drivers who had the accident.	easy	false
acrophobia	fear of heights	,/&/kr/@/'f/oU/b/i//@/	Not Available	normal	false
actuarial	calculating; pertaining to insurance statistics	,/&/k/tS//u/'/(@)/r/i//@/l	Not Available	normal	false
actuary	someone who advises insurance companies	'/&/k/tS//u/,/E/r/i/	Not Available	normal	false
actuate	motivate; activate; cause to act	'/&/k/tS//u/,/eI/t	Not Available	normal	false
acuity	sharpness (of mind or senses of sight or hearing)	/@/'k/j//u//I/t/i/	Not Available	normal	false
acumen	mental keenness; sharpness of judgment; ability to judge quickly and well;	/@/'k/j//u/m/@/n	business acumen	normal	false
acute	(of the senses) sharp; quickly perceptive; keen; penetrating; brief and severe;	/@/'k/j//u/t	acute sense of smell/analysis/pain	normal	false
adage	wise saying; proverb	'/&/d/I//dZ/	Not Available	normal	false
adamant	hard; inflexible	'/&/d/@/m/@/nt	Not Available	normal	false
adapt	make or become suitable for a specific use; alter; modify; adjust; N. adaptation: act of adapting; composition recast into a new form;	/@/'d/&/pt	The play is an adaptation of a short novel	normal	false
addendum	addition; appendix to book; something that is added (as at the end of a speech or book)	/@/'d/E/nd/@/m	Not Available	normal	false
addiction	compulsive habitual need	/@/'d/I/k/S//@/n	Not Available	easy	false
